trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
117,False,"{'a': 0.9, 'e': 0.21632507469630935}",20,0,-12.111000039164542,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
118,False,"{'a': 0.9, 'e': 0.21351284872525733}",25,1,-6.27759227115682,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
119,False,"{'a': 0.9, 'e': 0.21073718169182898}",20,6,-24.65978770031711,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
120,False,"{'a': 0.9, 'e': 0.2079975983298352}",35,27,1.7977405771408426,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.9, 'e': 0.20529362955154734}",20,0,5.78540695698087,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
122,False,"{'a': 0.9, 'e': 0.20262481236737723}",20,4,12.261881954886725,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.9, 'e': 0.1999906898066013}",25,0,-27.17321770340852,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
124,False,"{'a': 0.9, 'e': 0.1973908108391155}",20,0,-81.22876522654278,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
125,False,"{'a': 0.9, 'e': 0.194824730298207}",25,8,-23.89884280998689,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
126,False,"{'a': 0.9, 'e': 0.19229200880433028}",25,11,24.005306996535086,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.9, 'e': 0.18979221268987398}",25,12,-12.990203725135647,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
128,False,"{'a': 0.9, 'e': 0.1873249139249056}",25,16,17.565195629815854,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.9, 'e': 0.18488969004388184}",20,16,8.76890382967086,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.9, 'e': 0.18248612407331138}",25,18,-1.5133878994521095,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.9, 'e': 0.18011380446035832}",20,6,-38.68302065703823,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 1}",1
132,False,"{'a': 0.9, 'e': 0.17777232500237367}",20,0,32.07120187153345,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
133,False,"{'a': 0.9, 'e': 0.1754612847773428}",30,15,-0.14197013835535688,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
134,False,"{'a': 0.9, 'e': 0.17318028807523733}",30,16,-16.985434066625125,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
135,False,"{'a': 0.9, 'e': 0.17092894433025924}",30,8,27.444734379030262,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.9, 'e': 0.16870686805396587}",25,12,-17.965680204112118,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
137,False,"{'a': 0.9, 'e': 0.16651367876926432}",25,8,-43.06095195411362,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 1}",1
138,False,"{'a': 0.9, 'e': 0.1643490009452639}",25,12,14.2294544754668,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.9, 'e': 0.16221246393297545}",30,0,-23.586520168081847,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
140,False,"{'a': 0.9, 'e': 0.16010370190184678}",20,14,13.314274406091286,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.9, 'e': 0.15802235377712276}",20,2,-21.724040506631543,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
142,False,"{'a': 0.9, 'e': 0.15596806317802017}",20,5,14.453533969691446,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.9, 'e': 0.1539404783567059}",30,8,6.530296194371973,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
144,False,"{'a': 0.9, 'e': 0.15193925213806872}",20,13,4.08939212575829,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.9, 'e': 0.14996404186027382}",25,14,-37.46824091663206,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
146,False,"{'a': 0.9, 'e': 0.14801450931609025}",25,18,16.683756531381153,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.9, 'e': 0.14609032069498107}",25,14,-65.03604250967273,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
148,False,"{'a': 0.9, 'e': 0.1441911465259463}",25,3,-13.055036030681828,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 1}",1
149,False,"{'a': 0.9, 'e': 0.142316661621109}",20,11,10.258225584430203,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.9, 'e': 0.14046654502003458}",30,4,27.91117011394292,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.9, 'e': 0.13864047993477413}",30,1,-21.278212992875915,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 1}",1
152,False,"{'a': 0.9, 'e': 0.13683815369562208}",30,16,19.34139968464105,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.9, 'e': 0.13505925769757898}",20,0,-45.737256248131985,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
154,False,"{'a': 0.9, 'e': 0.13330348734751046}",25,20,10.82623885876558,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.9, 'e': 0.13157054201199284}",25,16,6.1787440585202065,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.9, 'e': 0.12986012496583693}",25,11,17.641290935307232,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.9, 'e': 0.12817194334128104}",20,9,9.857514297862632,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.9, 'e': 0.1265057080778444}",20,13,13.975248858041333,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.9, 'e': 0.12486113387283242}",20,6,17.329456552357577,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.9, 'e': 0.1232379391324856}",20,16,7.182429762501806,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.9, 'e': 0.12163584592376328}",20,0,-51.615701241205244,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
162,False,"{'a': 0.9, 'e': 0.12005457992675436}",20,0,-5.2989592661093,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
163,False,"{'a': 0.9, 'e': 0.11849387038770655}",30,12,25.555473661095,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.9, 'e': 0.11695345007266636}",20,5,-17.84840174485555,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
165,False,"{'a': 0.9, 'e': 0.11543305522172169}",20,3,21.98130299562482,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.9, 'e': 0.11393242550383931}",35,28,9.814426937917943,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.9, 'e': 0.11245130397228939}",20,8,14.879730099365588,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.9, 'e': 0.11098943702064963}",20,7,-0.11431573297929187,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
169,False,"{'a': 0.9, 'e': 0.10954657433938118}",20,0,25.42622274980398,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.9, 'e': 0.10812246887296922}",20,0,16.94164290771889,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
171,False,"{'a': 0.9, 'e': 0.10671687677762062}",25,6,-15.679611106064964,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
172,False,"{'a': 0.9, 'e': 0.10532955737951155}",20,11,-3.5761422164805587,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.9, 'e': 0.1039602731335779}",25,13,7.571656986540868,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.9, 'e': 0.10260878958284139}",20,2,24.83619251060556,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.9, 'e': 0.10127487531826446}",25,0,35.604620826123075,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
176,False,"{'a': 0.9, 'e': 0.09995830193912701}",30,6,24.50486726071305,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.9, 'e': 0.09865884401391836}",30,13,-24.613726094781452,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
178,False,"{'a': 0.9, 'e': 0.09737627904173742}",20,3,5.838774094146607,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.9, 'e': 0.09611038741419482}",25,16,19.504479403236417,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.9, 'e': 0.0948609523778103}",20,6,3.382425633814452,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
181,False,"{'a': 0.9, 'e': 0.09362775999689876}",25,11,8.576951408514022,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.9, 'e': 0.09241059911693908}",30,17,10.707481875848979,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
183,False,"{'a': 0.9, 'e': 0.09120926132841888}",30,13,31.41781324148567,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
